,Powerplant Name,gppd_idnr,Capacity (MW),Primary Fuel,Owner,Source,distance_to_water_km,Longitude,Latitude
28653,Turlock Lake,USA0000161,3.3,Hydro,Turlock Irrigation District,U.S. Energy Information Administration,24.88188274188082,-120.5947,37.6115
28654,Turnbull Hydro,USA0057690,13.0,Hydro,Turnbull Hydro LLC,U.S. Energy Information Administration,47.283846341513815,-112.0969,47.6053
28655,Turner Energy Storage Project,USA0060675,1.2,Storage,Avista Corp,U.S. Energy Information Administration,21.151662717816315,-117.1614,46.7518
28656,Turner Shoals,USA0002735,5.4,Hydro,Northbrook Carolina Hydro LLC,U.S. Energy Information Administration,0.9609491239828588,-82.1864,35.3348
28657,Turners Falls,USA0006388,5.7,Hydro,FirstLight Power Resources  Inc. - MA,U.S. Energy Information Administration,0.5973413054101792,-72.5615,42.608
28658,Turnkey Landfill Gas Recovery,USA0054663,9.2,Waste,WM Renewable Energy LLC,U.S. Energy Information Administration,31.505427606180547,-70.9664,43.2416
28659,Turrill Solar Farm,USA0060347,19.6,Solar,DTE Electric Company,U.S. Energy Information Administration,58.66230816823432,-83.3089,43.0347
28660,Tuscarora Geothermal Power Plant,USA0057451,24.0,Geothermal,Ormat Nevada Inc,U.S. Energy Information Administration,71.34866866547301,-116.1511,41.4828
28661,Tuscola Bay Wind,USA0058351,120.0,Wind,Tuscola Bay Wind LLC,U.S. Energy Information Administration,9.52837464246075,-83.65,43.5253
28662,Tuscola Station,USA0055245,18.0,Gas,DTE Tuscola  LLC,U.S. Energy Information Administration,2.150211472280751,-88.3498,39.7982
28663,Tuscola Wind II LLC,USA0058587,100.3,Wind,Tuscola Wind II LLC,U.S. Energy Information Administration,12.28845439148277,-83.5669,43.5269
28664,Tuttle,USA0061618,4.0,Solar,Western Farmers Elec Coop  Inc,U.S. Energy Information Administration,8.99266021775829,-97.8465,35.2666
28665,Tuxedo,USA0002736,5.0,Hydro,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,1.0212411590795334,-82.3894,35.245
28666,Twin Branch,USA0000989,4.8,Hydro,Indiana Michigan Power Co,U.S. Energy Information Administration,26.96291687429689,-86.1322,41.665
28667,Twin Branch PV,USA0059861,2.6,Solar,Indiana Michigan Power Co,U.S. Energy Information Administration,29.933521778582232,-86.12,41.69
28668,Twin Bridges LFGTE,USA0054925,12.8,Waste,Wabash Valley Power Assn  Inc,U.S. Energy Information Administration,74.73683570780689,-86.4947,39.745
